"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-60.000000	472.469682	378.277298	94.192384	10.923302	384.771896	-17.417900	0.000000	94.192384	0.000000	0.000000	0.000000
-59.800000	466.919665	376.158744	90.760920	10.923287	382.627062	-17.391605	0.000000	90.760920	0.000000	0.000000	0.000000
-59.600000	461.497366	374.044030	87.453336	10.923280	380.486898	-17.366147	0.000000	87.453336	0.000000	0.000000	0.000000
-59.400000	456.198188	371.933081	84.265107	10.923296	378.351317	-17.341532	0.000000	84.265107	0.000000	0.000000	0.000000
-59.200000	451.017974	369.825907	81.192067	10.923295	376.220377	-17.317765	0.000000	81.192067	0.000000	0.000000	0.000000
-59.000000	445.952511	367.722471	78.230040	10.923298	374.094022	-17.294850	0.000000	78.230040	0.000000	0.000000	0.000000
-58.800000	440.997851	365.622769	75.375082	10.923298	371.972263	-17.272792	0.000000	75.375082	0.000000	0.000000	0.000000
-58.600000	436.150202	363.526814	72.623388	10.923296	369.855115	-17.251597	0.000000	72.623388	0.000000	0.000000	0.000000
-58.400000	431.405604	361.434487	69.971116	10.923296	367.742459	-17.231268	0.000000	69.971116	0.000000	0.000000	0.000000
-58.200000	426.760768	359.345910	67.414858	10.923302	365.634418	-17.211810	0.000000	67.414858	0.000000	0.000000	0.000000
-58.000000	422.212030	357.260966	64.951065	10.923284	363.530909	-17.193227	0.000000	64.951065	0.000000	0.000000	0.000000
-57.800000	417.756224	355.179748	62.576477	10.923294	361.431977	-17.175523	0.000000	62.576477	0.000000	0.000000	0.000000
-57.600000	413.389900	353.102127	60.287773	10.923306	359.337523	-17.158702	0.000000	60.287773	0.000000	0.000000	0.000000
-57.400000	409.110119	351.028163	58.081957	10.923290	357.247639	-17.142766	0.000000	58.081957	0.000000	0.000000	0.000000
-57.200000	404.913888	348.957870	55.956018	10.923292	355.162299	-17.127721	0.000000	55.956018	0.000000	0.000000	0.000000
-57.000000	400.798309	346.891239	53.907070	10.923306	353.081502	-17.113568	0.000000	53.907070	0.000000	0.000000	0.000000
-56.800000	396.760396	344.828146	51.932249	10.923295	351.005162	-17.100311	0.000000	51.932249	0.000000	0.000000	0.000000
-56.600000	392.797720	342.768743	50.028977	10.923310	348.933386	-17.087952	0.000000	50.028977	0.000000	0.000000	0.000000
-56.400000	388.907512	340.712911	48.194601	10.923300	346.866107	-17.076495	0.000000	48.194601	0.000000	0.000000	0.000000
-56.200000	385.087319	338.660687	46.426632	10.923298	344.803330	-17.065942	0.000000	46.426632	0.000000	0.000000	0.000000
-56.000000	381.334729	336.612067	44.722662	10.923306	342.745055	-17.056294	0.000000	44.722662	0.000000	0.000000	0.000000
-55.800000	377.647290	334.566970	43.080320	10.923304	340.691221	-17.047554	0.000000	43.080320	0.000000	0.000000	0.000000
-55.600000	374.022946	332.525502	41.497444	10.923306	338.641921	-17.039725	0.000000	41.497444	0.000000	0.000000	0.000000
-55.400000	370.459454	330.487612	39.971841	10.923304	336.597115	-17.032806	0.000000	39.971841	0.000000	0.000000	0.000000
-55.200000	366.954669	328.453270	38.501399	10.923311	334.556760	-17.026801	0.000000	38.501399	0.000000	0.000000	0.000000
-55.000000	363.506663	326.422513	37.084150	10.923311	332.520912	-17.021710	0.000000	37.084150	0.000000	0.000000	0.000000
-54.800000	360.113454	324.395318	35.718136	10.923314	330.489538	-17.017535	0.000000	35.718136	0.000000	0.000000	0.000000
-54.600000	356.773171	322.371666	34.401505	10.923285	328.462656	-17.014275	0.000000	34.401505	0.000000	0.000000	0.000000
-54.400000	353.484039	320.351606	33.132433	10.923308	326.440231	-17.011933	0.000000	33.132433	0.000000	0.000000	0.000000
-54.200000	350.244288	318.335085	31.909203	10.923308	324.422285	-17.010508	0.000000	31.909203	0.000000	0.000000	0.000000
-54.000000	347.052296	316.322141	30.730155	10.923306	322.408837	-17.010001	0.000000	30.730155	0.000000	0.000000	0.000000
-53.800000	343.906411	314.312746	29.593665	10.923289	320.399869	-17.010412	0.000000	29.593665	0.000000	0.000000	0.000000
-53.600000	340.805084	312.306918	28.498167	10.923306	318.395353	-17.011741	0.000000	28.498167	0.000000	0.000000	0.000000
-53.400000	337.746781	310.304616	27.442165	10.923314	316.395290	-17.013988	0.000000	27.442165	0.000000	0.000000	0.000000
-53.200000	334.730146	308.305891	26.424255	10.923293	314.399749	-17.017151	0.000000	26.424255	0.000000	0.000000	0.000000
-53.000000	331.753759	306.310745	25.443014	10.923308	312.408669	-17.021231	0.000000	25.443014	0.000000	0.000000	0.000000
-52.800000	328.816279	304.319157	24.497121	10.923299	310.422085	-17.026226	0.000000	24.497121	0.000000	0.000000	0.000000
