step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
880	40.553	-1.46979	0.553278	-1.46979	0	0	0	0	0	
890	44.7466	-1.57087	0.661405	-1.57087	0	0	0	0	0	
900	48.162	-1.71614	0.686521	-1.71614	0	0	0	0	0	
910	47.6683	-1.58886	0.789178	-1.58886	0	0	0	0	0	
920	43.1697	-1.20917	0.944441	-1.20917	0	0	0	0	0	
930	41.779	-0.917102	1.16713	-0.917102	0	0	0	0	0	
940	46.4392	-0.95398	1.36274	-0.95398	0	0	0	0	0	
950	51.8823	-1.13552	1.45273	-1.13552	0	0	0	0	0	
960	51.5488	-1.08723	1.48439	-1.08723	0	0	0	0	0	
970	46.5898	-0.754257	1.56997	-0.754257	0	0	0	0	0	
980	44.2508	-0.470189	1.73735	-0.470189	0	0	0	0	0	
990	48.7129	-0.539233	1.89091	-0.539233	0	0	0	0	0	
1000	55.3616	-0.831726	1.9301	-0.831726	0	0	0	0	0	
1010	58.4374	-0.937333	1.97794	-0.937333	0	0	0	0	0	
1020	54.9222	-0.708515	2.03139	-0.708515	0	0	0	0	0	
1030	52.3476	-0.455387	2.15608	-0.455387	0	0	0	0	0	
1040	56.6158	-0.550607	2.27379	-0.550607	0	0	0	0	0	
1050	64.29	-0.936629	2.27061	-0.936629	0	0	0	0	0	
1060	66.9561	-1.18497	2.15527	-1.18497	0	0	0	0	0	
1070	62.663	-1.07187	2.0542	-1.07187	0	0	0	0	0	
1080	58.1856	-0.853917	2.04879	-0.853917	0	0	0	0	0	
1090	60.063	-0.918376	2.07799	-0.918376	0	0	0	0	0	
1100	66.1789	-1.27597	2.0255	-1.27597	0	0	0	0	0	
1110	70.3886	-1.53727	1.97421	-1.53727	0	0	0	0	0	
1120	66.9279	-1.42669	1.91215	-1.42669	0	0	0	0	0	
1130	61.8561	-1.14354	1.94227	-1.14354	0	0	0	0	0	
1140	62.6489	-1.10065	2.02472	-1.10065	0	0	0	0	0	
1150	68.7581	-1.39152	2.03862	-1.39152	0	0	0	0	0	
1160	72.2687	-1.65823	1.94704	-1.65823	0	0	0	0	0	
1170	68.6568	-1.57458	1.85051	-1.57458	0	0	0	0	0	
1180	62.702	-1.27375	1.85426	-1.27375	0	0	0	0	0	
1190	62.0167	-1.16057	1.93326	-1.16057	0	0	0	0	0	
1200	67.2131	-1.38466	1.96841	-1.38466	0	0	0	0	0	
1210	72.8289	-1.63274	2.00048	-1.63274	0	0	0	0	0	
1220	70.8141	-1.54203	1.99068	-1.54203	0	0	0	0	0	
1230	65.2072	-1.19148	2.06151	-1.19148	0	0	0	0	0	
1240	64.2993	-0.999898	2.20781	-0.999898	0	0	0	0	0	
1250	70.0546	-1.18524	2.30958	-1.18524	0	0	0	0	0	
1260	75.3145	-1.46376	2.29345	-1.46376	0	0	0	0	0	
1270	73.4361	-1.42803	2.23549	-1.42803	0	0	0	0	0	
1280	67.2475	-1.09405	2.26073	-1.09405	0	0	0	0	0	
1290	65.0468	-0.865577	2.37942	-0.865577	0	0	0	0	0	
1300	69.796	-1.00491	2.47701	-1.00491	0	0	0	0	0	
1310	76.9472	-1.27647	2.5622	-1.27647	0	0	0	0	0	
1320	76.656	-1.25283	2.57131	-1.25283	0	0	0	0	0	
1330	70.9819	-0.898658	2.64242	-0.898658	0	0	0	0	0	
