step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	111.015	37573	37600.7	37570.1	0	0	0	0	0	
10	33488.5	27975.8	36329.1	27975.8	0	0	0	0	0	
20	82415.8	14923.9	35481.3	14924.9	0	0	0	0	0	
30	99707.3	10288	35158.6	10288	0	0	0	0	0	
40	85838.7	13608.7	35019.9	20941	0	0	0	0	0	
50	100525	10009.8	35084.3	10009.8	0	0	0	0	0	
60	120622	5301.95	35389.4	5301.95	0	0	0	0	0	
70	79882	15683.7	35609.1	15683.7	0	0	0	0	0	
80	58158.4	21311.3	35818	21280	0	0	0	0	0	
90	61295.4	21374.4	36663.6	21374.3	0	0	0	0	0	
